Start_Time,City,State,Average_Severity
2016-07-04,New York,NY,3.0
2016-07-04,Philadelphia,PA,2.0
2016-07-04,Phoenix,AZ,2.0
2016-07-04,Pittsburgh,PA,2.0
2016-07-04,San Antonio,TX,2.2222222222222223
2016-07-04,San Diego,CA,3.0
2016-07-04,San Francisco,CA,2.2
2016-07-04,Seattle,WA,2.1818181818181817
2016-07-05,Albuquerque,NM,2.0
2016-07-05,Atlanta,GA,2.588235294117647
2016-07-05,Boston,MA,2.5
2016-07-05,Charlotte,NC,2.0
2016-07-05,Chicago,IL,2.5
2016-07-05,Dallas,TX,2.396551724137931
2016-07-05,Denver,CO,2.8333333333333335
2016-07-05,Detroit,MI,2.6153846153846154
2016-07-05,Houston,TX,2.242424242424242
2016-07-05,Indianapolis,IN,2.0
2016-07-05,Jacksonville,FL,2.0
2016-07-05,Kansas City,KS,3.0
2016-07-05,Kansas City,MO,2.0
2016-07-05,Las Vegas,NV,2.0
2016-07-05,Los Angeles,CA,2.453333333333333
2016-07-05,Miami,FL,2.4193548387096775
2016-07-05,Minneapolis,MN,2.0
2016-07-05,Nashville,TN,2.3333333333333335
2016-07-05,New York,NY,2.125
2016-07-05,Philadelphia,PA,2.25
2016-07-05,Phoenix,AZ,2.3333333333333335
2016-07-05,Pittsburgh,PA,2.5
2016-07-05,Portland,OR,3.25
2016-07-05,San Antonio,FL,2.0
2016-07-05,San Antonio,TX,2.4444444444444446
2016-07-05,San Diego,CA,2.4482758620689653
2016-07-05,San Francisco,CA,2.5555555555555554
2016-07-05,Seattle,WA,2.0454545454545454
2016-07-06,Albuquerque,NM,3.0
2016-07-06,Atlanta,GA,2.3333333333333335
2016-07-06,Boston,MA,3.0
2016-07-06,Charlotte,MI,2.0
2016-07-06,Charlotte,NC,2.0
2016-07-06,Chicago,IL,2.7777777777777777
2016-07-06,Dallas,TX,2.2244897959183674
2016-07-06,Denver,CO,2.5
2016-07-06,Denver,PA,2.0
2016-07-06,Detroit,MI,2.411764705882353
2016-07-06,Houston,TX,2.225
2016-07-06,Indianapolis,IN,3.0
2016-07-06,Jacksonville,FL,2.3333333333333335
2016-07-06,Kansas City,KS,2.0
2016-07-06,Kansas City,MO,2.1666666666666665
2016-07-06,Las Vegas,NV,2.0
2016-07-06,Los Angeles,CA,2.4788732394366195
2016-07-06,Miami,FL,2.2
2016-07-06,Minneapolis,MN,2.0
2016-07-06,Nashville,TN,2.0
2016-07-06,New York,NY,2.0
2016-07-06,Philadelphia,PA,2.3333333333333335
2016-07-06,Phoenix,AZ,2.0
2016-07-06,Pittsburgh,PA,2.111111111111111
2016-07-06,San Antonio,TX,2.3703703703703702
2016-07-06,San Diego,CA,2.4285714285714284
2016-07-06,San Francisco,CA,2.8333333333333335
2016-07-06,Seattle,WA,2.0384615384615383
2016-07-07,Albuquerque,NM,2.0
2016-07-07,Atlanta,GA,2.75
2016-07-07,Boston,MA,2.0
2016-07-07,Charlotte,NC,2.0
2016-07-07,Chicago,IL,2.875
2016-07-07,Dallas,TX,2.388059701492537
2016-07-07,Denver,CO,2.0
2016-07-07,Detroit,MI,2.2222222222222223
2016-07-07,Houston,TX,2.2777777777777777
2016-07-07,Indianapolis,IN,2.6
2016-07-07,Jacksonville,FL,2.3333333333333335
2016-07-07,Kansas City,MO,2.3333333333333335
2016-07-07,Las Vegas,NV,2.0
2016-07-07,Los Angeles,CA,2.5483870967741935
2016-07-07,Miami,FL,2.08
2016-07-07,Miami,OK,4.0
2016-07-07,Minneapolis,MN,2.0
2016-07-07,Nashville,TN,2.0
2016-07-07,New York,NY,2.0
2016-07-07,Philadelphia,PA,2.2857142857142856
2016-07-07,Phoenix,AZ,2.25
2016-07-07,Pittsburgh,PA,3.0
2016-07-07,Portland,CT,2.0
2016-07-07,Portland,OR,2.2
2016-07-07,San Antonio,TX,2.0869565217391304
2016-07-07,San Diego,CA,2.533333333333333
2016-07-07,San Francisco,CA,2.0
2016-07-07,Seattle,WA,2.210526315789474
2016-07-08,Albuquerque,NM,2.5
2016-07-08,Atlanta,GA,2.6551724137931036
2016-07-08,Boston,MA,2.5
2016-07-08,Charlotte,NC,2.0
2016-07-08,Chicago,IL,2.5789473684210527
2016-07-08,Dallas,TX,2.217391304347826
2016-07-08,Denver,CO,2.0
2016-07-08,Denver,PA,2.0
2016-07-08,Detroit,MI,2.7058823529411766
2016-07-08,Houston,TX,2.189873417721519
2016-07-08,Indianapolis,IN,2.0
2016-07-08,Jacksonville,FL,2.0
2016-07-08,Kansas City,KS,2.0
2016-07-08,Kansas City,MO,2.2
2016-07-08,Las Vegas,NV,2.0
2016-07-08,Los Angeles,CA,2.4285714285714284
2016-07-08,Miami,FL,2.53125
2016-07-08,Minneapolis,MN,2.0
2016-07-08,Nashville,TN,2.0
2016-07-08,New York,NY,2.125
2016-07-08,Philadelphia,PA,2.111111111111111
2016-07-08,Philadelphia,TN,4.0
2016-07-08,Phoenix,AZ,2.0
2016-07-08,Pittsburgh,PA,2.0
2016-07-08,Portland,OR,2.6666666666666665
2016-07-08,San Antonio,FL,3.0
2016-07-08,San Antonio,TX,2.142857142857143
2016-07-08,San Diego,CA,2.5555555555555554
2016-07-08,San Francisco,CA,2.0
2016-07-08,Seattle,WA,2.3461538461538463
2016-07-08,Vancouver,WA,2.0
2016-07-09,Atlanta,GA,3.0
2016-07-09,Chicago,IL,2.6
2016-07-09,Dallas,TX,2.25
2016-07-09,Detroit,MI,2.888888888888889
2016-07-09,Houston,TX,2.3214285714285716
2016-07-09,Los Angeles,CA,2.55
2016-07-09,Miami,FL,3.0
2016-07-09,Minneapolis,MN,2.0
2016-07-09,New York,NY,3.0
2016-07-09,Philadelphia,PA,3.0
2016-07-09,Portland,MI,3.0
2016-07-09,Seattle,WA,2.857142857142857
2016-07-10,Atlanta,GA,2.9375
2016-07-10,Charlotte,NC,3.0
2016-07-10,Chicago,IL,2.6666666666666665
2016-07-10,Dallas,TX,2.466666666666667
2016-07-10,Detroit,MI,3.0
2016-07-10,Houston,TX,2.2857142857142856
2016-07-10,Las Vegas,NV,2.0
