Date,City,State,Weather_Score,Average_Severity
2016-07-10,San Diego,CA,1.8065335804132976,2.5
2016-07-10,San Francisco,CA,1.582943196004992,2.5
2016-07-10,Atlanta,GA,1.3897425567833055,2.9375
2016-07-10,Chicago,IL,1.3678699712643612,2.6666666666666665
2016-07-10,Detroit,MI,1.448965587552543,3.0
2016-07-10,Charlotte,NC,1.5707860337117308,3.0
2016-07-10,Las Vegas,NV,1.5203137506366875,2.0
2016-07-10,Pittsburgh,PA,1.555634744659129,4.0
2016-07-10,Nashville,TN,1.354654993065188,3.0
2016-07-10,Dallas,TX,1.6917323775388289,2.466666666666667
2016-07-10,Houston,TX,1.7147269303201391,2.2857142857142856
2016-07-10,Seattle,WA,1.546492616033753,2.6
2016-07-11,Phoenix,AZ,1.6415231545692688,2.0
2016-07-11,Los Angeles,CA,1.5516238880652298,2.473684210526316
2016-07-11,San Diego,CA,1.6316693722943734,2.6
2016-07-11,San Francisco,CA,1.626220654345654,2.0
2016-07-11,Jacksonville,FL,1.4247722914669143,2.0
2016-07-11,Miami,FL,1.5961859305125543,2.5517241379310347
2016-07-11,San Antonio,FL,1.5824553001277124,2.0
2016-07-11,San Antonio,FL,1.5824553001277124,2.0
2016-07-11,Atlanta,GA,1.284366434745937,2.6296296296296298
2016-07-11,Chicago,IL,1.7616830065359486,2.5
2016-07-11,Indianapolis,IN,1.481061973525873,2.0
2016-07-11,Detroit,MI,1.4503909229595733,2.4
2016-07-11,Minneapolis,MN,1.6406644570707136,2.0
2016-07-11,Kansas City,MO,1.519993396008478,2.0
2016-07-11,Charlotte,NC,1.2549496321914757,2.0
2016-07-11,Las Vegas,NV,1.3373536501377368,2.1666666666666665
2016-07-11,New York,NY,1.4470990883504609,2.333333333333333
2016-07-11,Portland,OR,1.560134151618868,2.0
2016-07-11,Philadelphia,PA,1.541289623630096,2.333333333333333
2016-07-11,Pittsburgh,PA,1.487367765232429,2.4285714285714284
2016-07-11,Nashville,TN,1.2754800916138067,2.0
2016-07-11,Dallas,TX,1.6330874741200854,2.52
