City,Date,Score
Detroit,2016-01-07,1.6298369960856325
Houston,2016-01-07,1.6259742302517337
Indianapolis,2016-01-07,1.4848435769024697
Jacksonville,2016-01-07,1.4896113074094561
Kansas City,2016-01-07,1.6316961890449717
Las Vegas,2016-01-07,1.3974533727335137
Los Angeles,2016-01-07,1.2799583304122741
Miami,2016-01-07,1.629777895903544
Minneapolis,2016-01-07,1.648901573335429
Nashville,2016-01-07,1.5402127665348768
New York,2016-01-07,1.2396112862463013
Philadelphia,2016-01-07,1.5861101878884174
Phoenix,2016-01-07,1.6400785241980016
Pittsburgh,2016-01-07,1.6345541043467744
Portland,2016-01-07,1.1337657438207303
San Antonio,2016-01-07,1.6621939886580201
San Diego,2016-01-07,1.4421989720373256
San Francisco,2016-01-07,1.412105038022095
Seattle,2016-01-07,1.4407485167566243
Vancouver,2016-01-07,1.5611858073859528
Albuquerque,2016-01-08,1.3639638232765905
Atlanta,2016-01-08,1.6535651386501862
Boston,2016-01-08,1.6847768271651318
Charlotte,2016-01-08,1.574827546225292
Chicago,2016-01-08,1.6968601346683967
Dallas,2016-01-08,1.5813925476606254
Denver,2016-01-08,1.445229729613858
Detroit,2016-01-08,1.4085177731634846
Houston,2016-01-08,1.5901520530690658
Indianapolis,2016-01-08,1.5406449253984755
Jacksonville,2016-01-08,1.6939051488044132
Kansas City,2016-01-08,1.9933836807602978
Las Vegas,2016-01-08,1.0894748327710155
Los Angeles,2016-01-08,1.263555907964512
Miami,2016-01-08,1.4771005669660497
Minneapolis,2016-01-08,1.4146628415674694
Nashville,2016-01-08,1.3383471067110706
New York,2016-01-08,1.6135703557937353
Philadelphia,2016-01-08,1.2222116163148136
Phoenix,2016-01-08,1.3317600402861316
Pittsburgh,2016-01-08,1.6838370213076252
Portland,2016-01-08,1.1496751776322887
San Antonio,2016-01-08,1.6748765622958606
San Diego,2016-01-08,1.1657719855170598
San Francisco,2016-01-08,1.666333035024579
Seattle,2016-01-08,1.4573638096797243
Vancouver,2016-01-08,1.8252564183845044
Albuquerque,2016-01-09,1.5068554624727732
Atlanta,2016-01-09,1.749803672964191
Boston,2016-01-09,1.393863962949174
Charlotte,2016-01-09,1.4594098387295276
Chicago,2016-01-09,1.479584376829096
Dallas,2016-01-09,1.5513677701462545
Denver,2016-01-09,1.5949757948019483
Detroit,2016-01-09,1.832989256171616
Houston,2016-01-09,1.4246149368477319
Indianapolis,2016-01-09,1.5869976105793482
Jacksonville,2016-01-09,1.381537412294735
Kansas City,2016-01-09,1.4949552299810975
Las Vegas,2016-01-09,1.1918271825111555
Los Angeles,2016-01-09,1.4047913435295623
Miami,2016-01-09,1.5918313982630723
Minneapolis,2016-01-09,1.6985937563383597
Nashville,2016-01-09,1.5107063619006376
New York,2016-01-09,1.4984650484786528
Philadelphia,2016-01-09,1.5551236280284044
Phoenix,2016-01-09,1.3920868731663039
Pittsburgh,2016-01-09,1.5966074231339036
Portland,2016-01-09,1.3438411069715235
San Antonio,2016-01-09,1.2135454724041497
San Diego,2016-01-09,1.4861474751560968
San Francisco,2016-01-09,1.5072530598639529
Seattle,2016-01-09,1.5923866895958907
Vancouver,2016-01-09,1.4740077880657585
Albuquerque,2016-01-10,1.2966837864489684
Atlanta,2016-01-10,1.7891752017951328
Boston,2016-01-10,1.737139020675906
Charlotte,2016-01-10,1.8030857246232448
Chicago,2016-01-10,1.5333053484744577
Dallas,2016-01-10,1.5351240377292983
Denver,2016-01-10,1.4784651615589575
Detroit,2016-01-10,1.662516836398554
Houston,2016-01-10,1.4830059448574022
Indianapolis,2016-01-10,1.5982485070433547
Jacksonville,2016-01-10,1.4910812185377633
Kansas City,2016-01-10,1.7762658029353542
Las Vegas,2016-01-10,1.4053030664053827
Los Angeles,2016-01-10,1.3280974583666647
Miami,2016-01-10,1.434864462560596
Minneapolis,2016-01-10,1.334100363709395
Nashville,2016-01-10,1.720539714351246
New York,2016-01-10,1.927792071532725
Philadelphia,2016-01-10,1.844743278644442
Phoenix,2016-01-10,1.7085239775300596
Pittsburgh,2016-01-10,1.6912684200191843
Portland,2016-01-10,1.2946521935771487
San Antonio,2016-01-10,1.5818681133560548
San Diego,2016-01-10,1.5003872913121452
San Francisco,2016-01-10,1.5365743661479063
Seattle,2016-01-10,1.6937547832400512
Vancouver,2016-01-10,1.393744232647185
Albuquerque,2016-01-11,1.6502168469949943
Atlanta,2016-01-11,1.5058490132521076
Boston,2016-01-11,1.674383807870366
Charlotte,2016-01-11,1.3492290292880897
Chicago,2016-01-11,1.5804058486560235
Dallas,2016-01-11,1.3221168873306297
Denver,2016-01-11,1.4818186274796323
Detroit,2016-01-11,1.3969001638875922
Houston,2016-01-11,1.5064372680734959
Indianapolis,2016-01-11,1.5996893014276545
Jacksonville,2016-01-11,1.4831754933275438
Kansas City,2016-01-11,1.6833648075985137
Las Vegas,2016-01-11,1.4049531889440061
Los Angeles,2016-01-11,1.35655840325394
Miami,2016-01-11,1.445903274147931
Minneapolis,2016-01-11,1.8145158502519678
Nashville,2016-01-11,1.544369267466041
New York,2016-01-11,1.6860618193406585
Philadelphia,2016-01-11,1.3211012971753802
Phoenix,2016-01-11,1.465964693177883
Pittsburgh,2016-01-11,1.5602462697888486
Portland,2016-01-11,1.4286699671627243
San Antonio,2016-01-11,1.8174042323682724
San Diego,2016-01-11,1.7352702499928734
San Francisco,2016-01-11,1.6123340830089181
Seattle,2016-01-11,1.7385341375489443
Vancouver,2016-01-11,1.1927535693066156
Albuquerque,2016-01-12,1.7822343491653774
Atlanta,2016-01-12,1.4412833860691316
Boston,2016-01-12,1.2650992426285224
Charlotte,2016-01-12,1.730120758954981
Chicago,2016-01-12,1.4944600182615997
Dallas,2016-01-12,1.7341667323426535
Denver,2016-01-12,1.1114171607139767
Detroit,2016-01-12,1.416547949028576
Houston,2016-01-12,1.8282173185690849
Indianapolis,2016-01-12,1.3787610478133687
Jacksonville,2016-01-12,1.4745224835590656
Kansas City,2016-01-12,1.3345906785056465
Las Vegas,2016-01-12,1.1965251706832152
Los Angeles,2016-01-12,1.378566437394144
Miami,2016-01-12,1.6377764594424589
Minneapolis,2016-01-12,1.3511722608432417
Nashville,2016-01-12,1.4338850461357224
New York,2016-01-12,1.5936455111052148
Philadelphia,2016-01-12,1.4780333685090397
Phoenix,2016-01-12,1.5694471452155934
Pittsburgh,2016-01-12,1.676663821407342
Portland,2016-01-12,1.2535395692776472
San Antonio,2016-01-12,1.9236179576064698
San Diego,2016-01-12,1.9198089156585607
San Francisco,2016-01-12,1.620331267483589
Seattle,2016-01-12,1.4798618043377683
Vancouver,2016-01-12,1.7493189565906744
Albuquerque,2016-01-13,1.1759635432118474
Atlanta,2016-01-13,1.255075762679297
Boston,2016-01-13,1.3987053141216763
Charlotte,2016-01-13,1.4445218812844158
Chicago,2016-01-13,1.5744261439977123
Dallas,2016-01-13,1.478662814446997
Denver,2016-01-13,1.0247773090309076
Detroit,2016-01-13,1.389379102416759
Houston,2016-01-13,1.3766759218955236
Indianapolis,2016-01-13,1.1422636289384371
Jacksonville,2016-01-13,1.397577851774524
Kansas City,2016-01-13,1.5696863888408272
Las Vegas,2016-01-13,1.4855355503142489
Los Angeles,2016-01-13,1.305908716554535
Miami,2016-01-13,1.035962745270274
Minneapolis,2016-01-13,1.7198426205629955
Nashville,2016-01-13,1.4018700204557495
New York,2016-01-13,1.4350721904761772
Philadelphia,2016-01-13,1.3912262182567394
Phoenix,2016-01-13,1.7203154085196464
Pittsburgh,2016-01-13,1.4566118126240188
Portland,2016-01-13,1.4211757954156181
San Antonio,2016-01-13,1.343567049315837
San Diego,2016-01-13,1.40247482815251
San Francisco,2016-01-13,1.323195091861869
Seattle,2016-01-13,1.6147643000181224
Vancouver,2016-01-13,1.6152605377054057
Albuquerque,2016-01-14,1.4630577176379538
Atlanta,2016-01-14,1.6375614295793068
Boston,2016-01-14,1.51647676314914
Charlotte,2016-01-14,1.617915201814858
Chicago,2016-01-14,1.382586583938394
Dallas,2016-01-14,1.4999212342811983
Denver,2016-01-14,1.4708475108669643
Detroit,2016-01-14,1.4449420834275049
Houston,2016-01-14,1.6258043776650892
Indianapolis,2016-01-14,1.5416862114197512
Jacksonville,2016-01-14,1.5408877805134693
Kansas City,2016-01-14,1.6213811450247915
Las Vegas,2016-01-14,1.433933008113715
Los Angeles,2016-01-14,1.2806223123223188
Miami,2016-01-14,1.6834462777329737
Minneapolis,2016-01-14,1.3861365847321392
Nashville,2016-01-14,1.5963226069883603
New York,2016-01-14,1.4934085179091765
Philadelphia,2016-01-14,1.705432906853288
Phoenix,2016-01-14,1.3060177732427127
Pittsburgh,2016-01-14,1.460941401299743
Portland,2016-01-14,1.4415618851949787
San Antonio,2016-01-14,1.3447731485003456
San Diego,2016-01-14,1.1595999000932624
San Francisco,2016-01-14,1.6863317784188228
Seattle,2016-01-14,1.5565534447872336
Vancouver,2016-01-14,1.8175059357016639
Albuquerque,2016-01-15,1.2228002147032857
Atlanta,2016-01-15,1.4678424306574755
Boston,2016-01-15,1.4619618801220324
Charlotte,2016-01-15,1.252037170733612
Chicago,2016-01-15,1.519867778465486
Dallas,2016-01-15,1.3620508194459553
Denver,2016-01-15,1.2374524979475048
