city,score,lat,lng,date
Portland,1.1328501276058147,45.523449,-122.676208,2017-04
San Francisco,1.3336816829015172,37.774929,-122.419418,2017-04
Seattle,1.2203742081324092,47.606209,-122.332069,2017-04
Los Angeles,1.1741245232722806,34.052231,-118.243683,2017-04
San Diego,1.250342113805093,32.715328,-117.157257,2017-04
Las Vegas,0.9469311690140213,36.174969,-115.137222,2017-04
Phoenix,0.8936854099539091,33.44838,-112.074043,2017-04
Albuquerque,1.049309999656939,35.084492,-106.651138,2017-04
Denver,1.1268345941904914,39.739151,-104.984703,2017-04
San Antonio,1.1425705164421505,29.42412,-98.493629,2017-04
Dallas,1.3357807932102723,32.783058,-96.806671,2017-04
Houston,1.3843939231923776,29.763281,-95.363274,2017-04
Kansas City,1.3653071896048263,39.099731,-94.578568,2017-04
Minneapolis,1.2363079183149748,44.979969,-93.26384,2017-04
Chicago,1.3714463414148597,41.850029,-87.650047,2017-04
Nashville,1.1467943438991588,36.16589,-86.784439,2017-04
Indianapolis,1.2775661693271247,39.768379,-86.158043,2017-04
Atlanta,1.259623918423431,33.749001,-84.387978,2017-04
Detroit,1.2335926374863309,42.331429,-83.045753,2017-04
Jacksonville,1.3517038005517832,30.33218,-81.655647,2017-04
Charlotte,1.2345214007610517,35.227089,-80.843132,2017-04
Miami,1.313230937513138,25.774269,-80.193657,2017-04
Pittsburgh,1.126677536788558,40.44062,-79.995888,2017-04
Philadelphia,1.0956164203285355,39.952339,-75.163788,2017-04
New York,1.2353199235794563,40.714272,-74.005966,2017-04
Boston,1.5000700304516719,42.358429,-71.059769,2017-04
Vancouver,1.179326449497363,49.24966,-123.119339,2017-07
Portland,1.2745153547736436,45.523449,-122.676208,2017-07
San Francisco,1.4427121019813958,37.774929,-122.419418,2017-07
Seattle,1.3148789087475365,47.606209,-122.332069,2017-07
Los Angeles,1.3519820951781756,34.052231,-118.243683,2017-07
San Diego,1.3422731413014632,32.715328,-117.157257,2017-07
Las Vegas,0.8987881344789657,36.174969,-115.137222,2017-07
Phoenix,0.9146175836264059,33.44838,-112.074043,2017-07
Albuquerque,1.018522115344915,35.084492,-106.651138,2017-07
Denver,0.9977418383274295,39.739151,-104.984703,2017-07
San Antonio,1.1304743166036186,29.42412,-98.493629,2017-07
Dallas,1.1256814114322582,32.783058,-96.806671,2017-07
Houston,1.2946458404296566,29.763281,-95.363274,2017-07
Kansas City,1.2122587363385493,39.099731,-94.578568,2017-07
Minneapolis,1.1126395948929024,44.979969,-93.26384,2017-07
Chicago,1.2078162733917455,41.850029,-87.650047,2017-07
Nashville,1.057327683878436,36.16589,-86.784439,2017-07
Indianapolis,1.2639037096088692,39.768379,-86.158043,2017-07
Atlanta,1.255989209402607,33.749001,-84.387978,2017-07
Detroit,1.2239638302284304,42.331429,-83.045753,2017-07
Jacksonville,1.3720759188434362,30.33218,-81.655647,2017-07
Charlotte,1.1686462598970855,35.227089,-80.843132,2017-07
Miami,1.1238750938379107,25.774269,-80.193657,2017-07
Pittsburgh,1.127822495890114,40.44062,-79.995888,2017-07
Philadelphia,1.2325334072446825,39.952339,-75.163788,2017-07
New York,1.1246752119494061,40.714272,-74.005966,2017-07
Boston,1.363511337524299,42.358429,-71.059769,2017-07
Vancouver,1.35934570802198,49.24966,-123.119339,2017-10
Portland,1.248810803084331,45.523449,-122.676208,2017-10
San Francisco,1.2032844101056188,37.774929,-122.419418,2017-10
Seattle,1.2289049130818541,47.606209,-122.332069,2017-10
Los Angeles,1.1835245885200991,34.052231,-118.243683,2017-10
San Diego,1.3575033226141475,32.715328,-117.157257,2017-10
Las Vegas,0.7648131809497218,36.174969,-115.137222,2017-10
Phoenix,1.052160162797617,33.44838,-112.074043,2017-10
Albuquerque,0.9855355906352479,35.084492,-106.651138,2017-10
Denver,0.9699223471644678,39.739151,-104.984703,2017-10
San Antonio,1.2505622462155566,29.42412,-98.493629,2017-10
Dallas,1.117853173539231,32.783058,-96.806671,2017-10
Houston,1.2960781921728914,29.763281,-95.363274,2017-10
Kansas City,1.2931925912195543,39.099731,-94.578568,2017-10
Minneapolis,1.3601868329269275,44.979969,-93.26384,2017-10
Chicago,1.3387030392762764,41.850029,-87.650047,2017-10
Nashville,1.341903553246463,36.16589,-86.784439,2017-10
Indianapolis,1.4113170128622183,39.768379,-86.158043,2017-10
Atlanta,1.2271404954413214,33.749001,-84.387978,2017-10
Detroit,1.234270783926828,42.331429,-83.045753,2017-10
Jacksonville,1.4755614699964994,30.33218,-81.655647,2017-10
Charlotte,1.2462957360739626,35.227089,-80.843132,2017-10
Miami,1.56638740646693,25.774269,-80.193657,2017-10
Pittsburgh,1.350062655871422,40.44062,-79.995888,2017-10
Philadelphia,1.2671969740876345,39.952339,-75.163788,2017-10
New York,1.205870679713785,40.714272,-74.005966,2017-10
Boston,1.2115113560643862,42.358429,-71.059769,2017-10
