City,ongelukken,lat,lng
Encino,715,34.6518,-105.4586
Topanga,107,34.0965,-118.6053
Upland,395,34.1178,-117.6604
Yorba Linda,117,33.889,-117.7714
Solana Beach,90,32.9943,-117.2574
Alpine,172,32.8439,-116.7585
Montclair,368,34.0715,-117.6981
Santa Clarita,357,34.4175,-118.4964
Seal Beach,671,33.7542,-118.0714
La Mesa,559,32.7703,-117.0204
Big Bear City,154,34.2536,-116.7903
Westlake Village,277,34.1369,-118.822
South Pasadena,167,34.1103,-118.1573
Grand Terrace,184,34.0312,-117.3132
Huntington Beach,234,33.696,-118.0018
Mission Hills,670,39.0141,-94.6172
San Fernando,183,34.2886,-118.4362
Hawthorne,1320,33.9147,-118.3476
Bellflower,582,33.888,-118.1271
Lake Arrowhead,45,34.2531,-117.1944
Ramona,314,33.0474,-116.8766
Beaumont,226,30.0849,-94.1451
Garden Grove,802,33.7787,-117.9601
Rancho Cucamonga,765,34.1247,-117.5667
Julian,94,33.0735,-116.5889
Glendora,993,34.1449,-117.8467
San Gabriel,319,34.0949,-118.099
Paramount,531,33.8977,-118.1651
San Marcos,691,33.135,-117.1743
Azusa,894,34.1386,-117.9124
San Dimas,762,34.1082,-117.809
South Gate,443,33.9447,-118.1926
Huntington Park,227,33.98,-118.2167
Oak Park,241,41.8872,-87.7899
North Hills,530,40.7765,-73.6778
Woodland Hills,635,40.0132,-111.6558
Monterey Park,444,34.0497,-118.1326
Fallbrook,761,33.3693,-117.2259
Calimesa,92,33.9874,-117.0542
Victorville,252,34.5277,-117.3536
Placentia,153,33.8807,-117.8553
Bonsall,162,33.2764,-117.1941
San Clemente,668,33.4499,-117.6102
Fountain Valley,432,33.7105,-117.9514
West Covina,1397,34.0555,-117.9113
Del Mar,275,32.9635,-117.2624
Thousand Palms,146,33.815,-116.3545
Banning,117,33.946,-116.8992
Pico Rivera,45,33.9901,-118.0888
Monrovia,627,34.165,-117.9921
Costa Mesa,968,33.6667,-117.9135
San Juan Capistrano,456,33.5008,-117.6544
San Jacinto,73,33.797,-116.9916
Homeland,76,33.7459,-117.1132
La Mirada,96,33.9025,-118.0093
Bell Gardens,392,33.9663,-118.155
Norco,195,33.9252,-117.5498
Artesia,274,33.8676,-118.0805
