datetime,Temp,Humidity,Wind_Speed_km,Temp_bins,Humidity_bins,Wind_Speed_bins,date,count,count_bins,Temp_norm,Humid_norm,weather_score
2016-10-26,289.2242083333333,68.45833333333333,0.022335673261008302,Low,Medium,Low,October,51,Medium,0.16074998215178388,0.6510574018126889,0.8341430572254811
2016-10-27,290.7262083333333,62.083333333333336,0.04148053605615827,Medium,Low,Low,October,45,Medium,0.05351788391518769,0.5740181268882176,0.6690165468595637
2016-10-29,288.0799583333333,78.91666666666667,0.012763241863433316,Low,High,Low,October,2,Low,0.2424412793603221,0.7774420946626387,1.032646615886394
2016-10-30,288.36691666666667,89.33333333333333,0.012763241863433316,Low,High,Low,October,33,Low,0.22195449894100616,0.9033232628398793,1.138041003644319
2016-10-31,285.25754166666667,88.04166666666667,0.012763241863433316,Low,High,Low,October,74,High,0.4439417196163818,0.8877139979859016,1.3444189594657168
2016-11-01,285.93602806666667,68.79166666666667,0.11167836630504152,Low,Medium,Low,November,86,High,0.3955026248780371,0.6550855991943607,1.1622665903774394
2016-11-02,292.2575985875,31.916666666666668,0.08104658583280154,Medium,Low,Low,November,56,Medium,0.05336726309464733,0.20946626384692857,0.34388011277437747
2016-11-03,289.171334525,72.16666666666667,0.2763241863433312,Low,Medium,Medium,November,79,High,0.1645247953404244,0.6958710976837866,1.1367200793675423
2016-11-04,289.69584424166663,70.20833333333333,0.2750478621569879,Medium,Medium,Medium,November,69,High,0.12707853870684038,0.6722054380664653,1.0743318389302936
2016-11-05,291.185,73.375,0.3962986598596044,Medium,Medium,High,November,40,Medium,0.020763427809905886,0.7104733131923465,1.1275354008618568
2016-11-06,291.78333333333336,82.45833333333333,0.022335673261008302,Medium,High,Low,November,22,Low,0.01950810309131679,0.8202416918429004,0.8620854681952255
2016-11-07,295.84666666666664,68.41666666666667,0.4052329291640077,High,Medium,High,November,61,High,0.30960115180504977,0.65055387713998,1.3653879581090376
2016-11-08,296.0258333333333,67.70833333333333,0.03254626675175494,High,Medium,Low,November,79,High,0.3223923752409513,0.6419939577039275,0.9969325996966338
2016-11-09,295.5841666666667,80.29166666666667,0.3343969368219528,High,High,High,November,54,Medium,0.2908605221198973,0.7940584088620345,1.4193158678038849
2016-11-10,289.3659166666667,61.54166666666666,0.009572431397574986,Low,Low,Low,November,81,High,0.15063301682491997,0.5674723061430009,0.727677754365496
2016-11-11,295.3675,27.20833333333333,0.17230376515634974,High,Low,Medium,November,73,High,0.27539206587182874,0.15256797583081566,0.6002638068589942
2016-11-12,288.9191666666666,86.95833333333333,0.1193363114231015,Low,High,Low,November,22,Low,0.18252778372718767,0.8746223564954684,1.1764864516457576
2016-11-13,294.26416666666665,44.66666666666666,0.18251435864709642,High,Low,Medium,November,44,Medium,0.19662192713167398,0.363544813695871,0.7426810994746413
2016-11-14,294.0708333333333,42.958333333333336,0.16656030631780475,Medium,Low,Medium,November,72,High,0.18281930463339974,0.34290030211480366,0.6922799130660082
2016-11-15,292.1708333333333,78.41666666666667,0.14294830887045312,Medium,High,Low,November,91,High,0.04717284215035371,0.7713997985901311,0.9615209496109378
2016-11-16,289.735,87.375,0.1506062539885131,Medium,High,Low,November,49,Medium,0.12428309654696466,0.8796576032225581,1.1545469537580357
2016-11-17,288.9195833333333,52.625,0.2501595405232929,Low,Low,Medium,November,60,High,0.18249803669593936,0.45971802618328306,0.8923756034025153
2016-11-18,290.19875,34.625,0.12571793235481815,Medium,Low,Low,November,79,High,0.09117465076985304,0.24219536757301108,0.45908795069768227
2016-11-19,288.42,35.833333333333336,0.1378430121250798,Low,Low,Low,November,26,Low,0.2181647271602289,0.256797583081571,0.6128053223668797
2016-11-20,288.3208333333333,84.5,0.08679004467134653,Low,High,Low,November,43,Medium,0.22524452059684555,0.8449144008056397,1.156948966073832
2016-11-21,287.8408333333333,88.20833333333333,0.2948308870453096,Low,High,Medium,November,117,High,0.2595131005925631,0.8897280966767374,1.44407208431461
