date,Temperature,count
2016-09-27,Not Freezing,432.0
2016-09-28,Not Freezing,816.0
2016-09-29,Not Freezing,768.0
2016-09-30,Not Freezing,600.0
2016-10-01,Freezing,240.0
2016-10-02,Freezing,120.0
2016-10-03,Not Freezing,384.0
2016-10-04,Freezing,456.0
2016-10-05,Not Freezing,336.0
2016-10-06,Not Freezing,312.0
2016-10-07,Not Freezing,336.0
2016-10-08,Not Freezing,288.0
2016-10-09,Not Freezing,72.0
2016-10-10,Not Freezing,120.0
2016-10-11,Not Freezing,312.0
2016-10-12,Freezing,264.0
2016-10-13,Not Freezing,144.0
2016-10-14,Not Freezing,264.0
2016-10-15,Not Freezing,96.0
2016-10-16,Not Freezing,192.0
2016-10-17,Not Freezing,384.0
2016-10-18,Not Freezing,216.0
2016-10-19,Not Freezing,480.0
2016-10-20,Not Freezing,816.0
2016-10-21,Not Freezing,408.0
2016-10-22,Not Freezing,216.0
2016-10-23,Not Freezing,120.0
2016-10-24,Not Freezing,312.0
2016-10-25,Not Freezing,360.0
2016-10-26,Not Freezing,576.0
2016-10-27,Not Freezing,384.0
2016-10-30,Not Freezing,264.0
2016-10-31,Not Freezing,216.0
2016-11-01,Freezing,504.0
2016-11-02,Freezing,552.0
2016-11-03,Not Freezing,624.0
2016-11-04,Not Freezing,336.0
2016-11-05,Not Freezing,24.0
2016-11-06,Not Freezing,144.0
2016-11-07,Not Freezing,336.0
2016-11-08,Not Freezing,336.0
2016-11-09,Not Freezing,144.0
2016-11-10,Not Freezing,600.0
2016-11-11,Not Freezing,264.0
2016-11-12,Freezing,48.0
2016-11-13,Not Freezing,48.0
2016-11-14,Not Freezing,216.0
2016-11-15,Not Freezing,240.0
2016-11-16,Not Freezing,384.0
2016-11-17,Not Freezing,360.0
2016-11-18,Not Freezing,552.0
2016-11-19,Not Freezing,216.0
2016-11-20,Freezing,336.0
2016-11-21,Freezing,216.0
2016-11-22,Freezing,600.0
2016-11-23,Freezing,168.0
2016-11-24,Not Freezing,360.0
